original_station,replacement_station,distance_km,replacement_days_in_key_index,n_candidates_found,n_candidates_with_data,status
ZU.ALD48,TA.447A,36.3,637.0,11923.0,3680.0,OK
IM.CY101,3K.POLI,110.5,728.0,2199.0,633.0,OK
4P.MIJ45,TA.J45A,33.9,643.0,11367.0,4526.0,OK
YL.ONRN,YL.LAZE,38.3,99.0,1963.0,1001.0,OK
4P.TNT53,Z4.RGR,6.0,364.0,15263.0,4068.0,OK
BL.UNIA,BL.PRCB,115.5,132.0,146.0,71.0,OK
7B.SB05,AU.STKA,0.4,8288.0,250.0,149.0,OK
Y3.NWM01,Y3.PLM01,46.0,29.0,550.0,429.0,OK
17.S20,17.S21,12.2,33.0,1748.0,639.0,OK
4P.NDD30,TA.D30A,17.9,688.0,5255.0,4315.0,OK
XE.CC12,XE.CC11,48.1,396.0,23.0,22.0,OK
XM.ASB06,XM.ASB18,5.5,366.0,1962.0,942.0,OK
XV.C16D,XV.C16C,74.2,43.0,979.0,370.0,OK
MH.P0007,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid minlon (format exception):expected a value between -180 and 180 but received(-186.492667)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-23.51175&maxlatitude=-3.5117499999999993&minlongitude=-186.492667&maxlongitude=-166.492667&level=station
Request Submitted:
2026-09-23T20:54:24
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
RS.RSON,CN.EPLO,131.8,6100.0,2108.0,1806.0,OK
EM.PA878,EM.PA880,11.7,15.0,1993.0,542.0,OK
2C.GS18,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid minlat (format exception):expected a value between -90 and 90 but received(-93.767303)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-93.767303&maxlatitude=-73.767303&minlongitude=-170.796906&maxlongitude=-150.796906&level=station
Request Submitted:
2026-09-23T20:54:26
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
ZU.TXH36,TA.835A,6.6,693.0,18063.0,7964.0,OK
XR.BB23,XR.BB20,26.9,143.0,2002.0,1033.0,OK
MU.OXNC,MU.OXPL,79.6,31.0,890.0,803.0,OK
Y2.IFM03,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid minlon (format exception):expected a value between -180 and 180 but received(-180.063)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=42.763&maxlatitude=62.763&minlongitude=-180.063&maxlongitude=-160.063&level=station
Request Submitted:
2026-09-23T20:54:34
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
SP.DFORK,CO.JSC,15.3,6516.0,14963.0,3785.0,OK
ZU.COS28,ZU.RES28,0.0,10.0,26373.0,12082.0,OK
EM.PA765,EM.PA760,10.4,10.0,3466.0,1091.0,OK
YI.ISDE,XH.RS14,203.9,782.0,21.0,21.0,OK
7S.RR06,7S.RR09,8.7,45.0,45365.0,22385.0,OK
IM.WK30,IM.H11C1,80.3,915.0,18.0,17.0,OK
4P.NEN31,TA.N31A,29.1,707.0,21317.0,11245.0,OK
X2.PG1,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid maxlon (format exception):expected a value between -180 and 180 but received(186.038101)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-51.137699&maxlatitude=-31.137698999999998&minlongitude=166.038101&maxlongitude=186.038101&level=station
Request Submitted:
2026-09-23T20:55:11
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
4P.VAQ55,TA.S56A,31.2,758.0,14883.0,3679.0,OK
7B.SC05,2O.BTL10,67.7,1310.0,201.0,110.0,OK
