station,n_connections,connected_to
US.DGMT,24,4A.MN50;GS.KS24;I0.RD179;IE.BCYI;IE.IRCI;II.FFC;MB.HRY;N4.L34B;RV.ASHMA;TD.TD009;US.ECSD;WY.YHR;X7.WA33;XI.SC04;XI.SM37;XI.SN44;XP.N16;XP.N20;XP.TWRS;Y5.DOR;Y5.FMC;Y5.HON;Y5.PER;YH.L01
GB.WACR,24,CH.FUORN;CH.SLE;CZ.BEDC;CZ.PRIC;CZ.TREC;DK.MUD;EI.DSB;EI.IDGL;EI.IMAC;EI.IMAY;G.CLF;G.SSB;GB.CCA1;GB.DRUM;GB.GAL1;GB.GDLE;GB.HMNX;GB.JSA;GB.LAWE;GB.LEWI;GB.LRW;MN.BNI;NL.HGN;WF.SPG
AK.O14K,24,AK.C16K;AK.C18K;AK.D20K;AK.E18K;AK.E19K;AK.F21K;AK.FALS;AK.G19K;AK.GAMB;AK.GLB;AK.H21K;AK.J17K;AK.J19K;AK.J26L;AK.K13K;AK.K15K;AK.M11K;AK.M14K;AK.M16K;AK.PAX;AK.PPLA;AK.PS06;AK.SPIA;AK.TNA
YT.RMBO,24,1D.ELSW;1D.FOWL;1D.KIBB;7U.TJTJ;AI.BELA;YT.AGO3;YT.BENN;YT.DUFK;YT.EAGL;YT.FALL;YT.HOWD;YT.HOWE;YT.MA06;YT.MA07;YT.MA09;YT.MECK;YT.PECA;YT.SIPL;YT.STEW;YT.SURP;YT.SWEI;YT.THRO;YT.UPTW;YT.WAIS
KZ.MAKZ,24,CK.MNAS;II.AAK;KN.ULHL;KR.SFK;KR.TRKS;KZ.OTUK;QZ.BRZS;QZ.CHM;QZ.SEM;QZ.TDK;QZ.USHN;QZ.ZSN;X7.MC06;X7.MC14;XL.AT04;XL.HD75;XV.NW140;XV.NW300;XV.SW060;XW.AKSU;XW.BCHU;XW.KHA;XW.KSA;XW.PDG
YP.NEP7,24,1G.NOP01;CB.DL2;CB.HEH;CB.SNY;IC.HIA;II.TLY;IU.ULN;YP.NE32;YP.NE57;YP.NE59;YP.NE5D;YP.NE61;YP.NE66;YP.NE6F;YP.NE7D;YP.NE81;YP.NE83;YP.NE8B;YP.NE9B;YP.NEA3;YP.NEA5;YP.NEA9;YP.NEAB;YP.NEP5
YG.CBP4N,24,CH.FUORN;G.SSB;GE.IBBN;GE.PSZ;GE.RGN;GE.RUE;GE.TIRR;HT.LKD;IU.KIEV;MN.BNI;MN.CLTB;MN.DIVS;MN.VSL;MN.VTS;NL.HGN;XS.S009;XS.S037;XS.S040;YF.PB60;YG.CBP2J;YG.CBP4F;YI.BARR;YI.BOB;YI.GROG
XH.RS15,24,XH.DR02;XH.DR15;XH.DR16;XH.RS02;XH.RS06;XH.RS08;XH.RS10;XH.RS12;XH.RS17;YT.AGO1;YT.BENN;YT.CLRK;YT.DEVL;YT.FALL;YT.HOWE;YT.MILR;YT.MPAT;YT.SILY;YT.SIPL;YT.SURP;YT.SWEI;YT.WAIS;ZJ.DONT;ZJ.RKST
MM.YGN,24,IN.PBA;IN.SHL;MM.KTN;MM.MDY;MM.NGU;MM.SIM;MM.TGI;RM.SLV;TM.CHBT;TM.CMAI;TM.CRAI;TM.LOEI;TM.NAYO;TM.NONG;TM.PANO;TM.PHRA;TM.PRAC;TM.SRDT;TM.SRIT;TM.UBPT;XR.BA07;XR.MS02;XR.MS05;XR.MS09
YI.BOB,24,CH.FUORN;G.SSB;GE.HLG;GE.IBBN;GE.MAHO;GE.PSZ;GE.RUE;MN.BNI;MN.CLTB;MN.DIVS;MN.VSL;MN.WDD;NL.HGN;UK.STED;XM.A106;YD.GROM;YD.MMNN;YD.OBS10;YD.OBS14;YG.CBP2J;YG.CBP4F;YG.CBP4N;YI.BARR;YI.GROG
NY.WGLY,24,7C.MM17;7C.MM26;7C.MM30;7C.MM40;AK.DCPH;AK.E27K;AK.FYU;AK.G27K;AK.GLB;AK.J26L;AK.PAX;AK.S31K;AK.V35K;EO.KLRS;NY.MAYO;NY.TGTN;PQ.NAB2;PQ.NBC3;PQ.NBC8;RV.DEDWA;RV.SWHSA;XJ.SNOW;XL.MG06;ZQ.ETIP
G.CLF,24,CA.CARA;CA.CFAR;CA.CPAL;CH.FUORN;CH.SLE;DK.MUD;EI.DSB;EI.IDGL;G.SSB;GB.CCA1;GB.DRUM;GB.GAL1;GB.GDLE;GB.HMNX;GB.JSA;GB.LAWE;GB.WACR;MN.BNI;MN.VSL;NI.ZOU2;NL.HGN;UK.STED;WM.UCM;YR.ED15
Y5.PER,24,7D.FN16A;C8.BNKB;C8.MWAB;IE.BCYI;II.FFC;MB.HRY;NV.BACME;PQ.NAB2;PQ.NBC3;PQ.NBC8;RV.DEDWA;RV.SWHSA;TD.TD009;US.DGMT;US.HAWA;X4.LR13;X7.WA33;XJ.SNOW;XL.MG06;XT.D58;Y5.DOR;Y5.FMC;Y5.HON;Y5.RW1
TM.SRDT,24,IN.PBA;MM.KTN;MM.MDY;MM.NGU;MM.SIM;MM.TGI;MM.YGN;MY.KUM;RM.DLV;RM.SLV;TM.CHBT;TM.CMAI;TM.CRAI;TM.LOEI;TM.NAYO;TM.NONG;TM.PANO;TM.PHRA;TM.PRAC;TM.SKLT;TM.SRIT;TM.UBPT;XR.MS05;XR.MS09
YP.NEAB,24,5G.D10;5G.D16;CB.HEH;CB.SNY;IC.HIA;IU.YSS;JP.ASAJ;YP.NE44;YP.NE57;YP.NE59;YP.NE5D;YP.NE66;YP.NE6F;YP.NE7D;YP.NE83;YP.NE8B;YP.NE8I;YP.NE9B;YP.NEA3;YP.NEA5;YP.NEA9;YP.NEAD;YP.NEP5;YP.NEP7
S1.AUGRF,24,M8.MOGAR;M8.RUGBY;OZ.BOGA;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.HKER;OZ.MARG;OZ.MILD;OZ.MRAT;OZ.ROBE;OZ.ROWM;OZ.TOT;S1.AUCAS;S1.AUDCS;S1.AUHPC;S1.AUJCS;S1.AUPHS;S1.AUROX;S1.AUTAR;S1.AUTKS;S1.AUUHS;Y2.KKVN5;YW.MSWL3
RV.SWHSA,24,AK.V35K;C8.BNKB;C8.MWAB;I0.RD179;II.FFC;MB.HRY;NV.BACME;NY.TGTN;NY.WGLY;PQ.LHLYB;PQ.NAB2;PQ.NBC3;PQ.NBC8;RV.ASHMA;RV.DEDWA;RV.KAKWA;TD.TD009;US.HAWA;X4.LR13;X7.WA33;XJ.SNOW;XL.MG06;XP.TWRS;Y5.PER
XH.RS06,24,XH.DR02;XH.DR15;XH.DR16;XH.RS02;XH.RS08;XH.RS10;XH.RS12;XH.RS15;XH.RS17;YT.AGO1;YT.BENN;YT.CLRK;YT.DEVL;YT.FALL;YT.HOWE;YT.MILR;YT.MPAT;YT.SILY;YT.SIPL;YT.SURP;YT.SWEI;ZJ.BEBP;ZJ.DONT;ZJ.RKST
PL.KWP,24,AC.VLO;CH.FUORN;CH.SLE;CZ.BEDC;CZ.MORC;CZ.PRIC;CZ.TREC;GE.TIRR;GF.TEPE;HL.RDO;IU.KIEV;MN.DIVS;MN.PDG;MN.VTS;NI.ZOU2;PL.BEL;PL.NIE;YD.3B13;YD.3D08;YD.3D14;YD.3F11;YD.3H07;YD.6C04;YR.ED15
YG.CBP4F,23,CH.FUORN;G.SSB;GE.HLG;GE.IBBN;GE.PSZ;GE.RGN;GE.RUE;GE.TIRR;HT.LKD;IU.KIEV;MN.BNI;MN.DIVS;MN.VSL;MN.VTS;NL.HGN;YF.PB49;YF.PB60;YG.CBP2J;YG.CBP4N;YI.BARR;YI.BOB;YI.GROG;YY.SW05
TM.LOEI,23,IC.QIZ;MM.KTN;MM.MDY;MM.NGU;MM.SIM;MM.TGI;MM.YGN;RM.DLV;RM.SLV;TM.CHBT;TM.CMAI;TM.CRAI;TM.NAYO;TM.NONG;TM.PANO;TM.PHRA;TM.PRAC;TM.SRDT;TM.SRIT;TM.UBPT;XR.MS02;XR.MS05;XR.MS09
N4.R61A,23,7A.BDEG;LD.FRNY;N4.257A;N4.E62A;N4.G65A;N4.K50A;N4.P48A;N4.P51A;N4.R50A;N4.R53A;N4.V51A;N4.Y60A;PE.PAKC;PE.PSSK;PO.LATQ;US.GLMI;WU.TOBO;X8.COSY;X8.QM38;XO.SOKY;XY.PACW;YM.MHCG;ZN.DC34
AF.LBB,23,AF.BLWY;AF.HARE;AF.KTWE;AF.MONG;AF.PWET;AF.TEZI;IU.LSZ;XV.TETE;YH.IFAK;YQ.KIMO;YQ.MATA;YQ.MFRI;YQ.VWZM;ZP.GEIT;ZP.ISOK;ZP.KASM;ZP.KIBO;ZP.KISH;ZP.LAEL;ZP.MPIK;ZP.MWEN;ZP.PNDA;ZV.CHAA
S1.AUHPC,23,M8.MOGAR;M8.RUGBY;OZ.BOGA;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.HKER;OZ.MARG;OZ.MILD;OZ.MRAT;OZ.ROBE;OZ.ROWM;OZ.TOT;S1.AUCAS;S1.AUDCS;S1.AUGRF;S1.AUJCS;S1.AUPHS;S1.AUROX;S1.AUTAR;S1.AUTKS;S1.AUUHS;YW.MSWL3
OZ.ROWM,23,M8.MOGAR;M8.RUGBY;OZ.BOGA;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.HKER;OZ.MARG;OZ.MILD;OZ.MRAT;OZ.ROBE;OZ.TOT;S1.AUCAS;S1.AUDCS;S1.AUGRF;S1.AUHPC;S1.AUJCS;S1.AUPHS;S1.AUROX;S1.AUTAR;S1.AUTKS;S1.AUUHS;YW.MSWL3
YP.NE61,23,1G.NOP01;1G.WOP01;CB.DL2;CB.HEH;CB.SNY;IC.HIA;IU.ULN;YP.NE32;YP.NE44;YP.NE57;YP.NE59;YP.NE5D;YP.NE66;YP.NE7D;YP.NE81;YP.NE83;YP.NE8B;YP.NE9B;YP.NEA3;YP.NEA5;YP.NEA9;YP.NEP5;YP.NEP7
XO.ET20,23,AK.FALS;AK.FYU;AK.GAMB;AK.GLB;AK.PAX;AK.PPLA;AK.SPIA;AK.TNA;AT.MID;AT.SVW2;EO.KLRS;XO.EP16;XO.EP23;XO.KD02;XO.LA32;XO.LD42;XO.WD49;XO.WD54;XO.WD58;XO.WD60;XO.WD67;XO.WD69;XO.WD72
XH.RS10,23,XH.DR02;XH.DR15;XH.DR16;XH.RS02;XH.RS06;XH.RS08;XH.RS12;XH.RS15;XH.RS17;YT.BENN;YT.CLRK;YT.DEVL;YT.FALL;YT.HOWE;YT.KOLR;YT.MA09;YT.MILR;YT.MPAT;YT.SILY;YT.SIPL;YT.SURP;YT.UPTW;YT.WAIS
CM.SJC,23,3C.GS02;3C.NW09;3C.SL09;CM.FLO2;CM.LCBC;CM.PRV;CM.RUS;CM.TUM;EC.TULM;JM.CVJB;JM.NMIA0;LO.LOBA2;NU.BILN;NU.ESPN;OV.CCOL;TC.TRT1;VE.BAUV;YU.GJ03;YU.MD04;YU.NL02;YU.NL10;YU.SL02;YU.SL09
S1.AUDCS,23,M8.MOGAR;M8.RUGBY;OZ.AWOON;OZ.BOGA;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.HKER;OZ.MILD;OZ.MRAT;OZ.ROBE;OZ.ROWM;OZ.TOT;S1.AUGRF;S1.AUHPC;S1.AUJCS;S1.AUMOU;S1.AUMUL;S1.AUPHS;S1.AUTKS;S1.AUUHS;Y2.KKVN5;YW.MSWL3
YT.ST02,23,XD.PSP03;YT.BENN;YT.CLRK;YT.DUFK;YT.FALL;YT.HOWD;YT.KOLR;YT.MECK;YT.MPAT;YT.PECA;YT.SILY;YT.SIPL;YT.ST01;YT.ST04;YT.ST07;YT.ST10;YT.ST14;YT.SURP;YT.THUR;YT.UPTW;YT.WAIS;YT.WILS;YT.WNDY
TM.NAYO,23,IC.QIZ;IN.PBA;MM.KTN;MM.MDY;MM.NGU;MM.SIM;MM.TGI;MM.YGN;MY.KUM;RM.DLV;RM.SLV;TM.CHBT;TM.CMAI;TM.CRAI;TM.LOEI;TM.NONG;TM.PANO;TM.PHRA;TM.PRAC;TM.SKLT;TM.SRDT;TM.SRIT;TM.UBPT
RM.SLV,23,CB.GYA;CB.GZH;HK.HKPS;IC.QIZ;MM.KTN;MM.MDY;MM.NGU;MM.TGI;MM.YGN;TM.CHBT;TM.CMAI;TM.CRAI;TM.LOEI;TM.NAYO;TM.NONG;TM.PANO;TM.PHRA;TM.PRAC;TM.SRDT;TM.UBPT;XR.MS02;XR.MS05;XR.MS09
XH.DR15,23,XH.DR02;XH.DR16;XH.RS02;XH.RS06;XH.RS08;XH.RS10;XH.RS12;XH.RS15;XH.RS17;YT.AGO1;YT.BENN;YT.CLRK;YT.DEVL;YT.FALL;YT.HOWE;YT.MILR;YT.MPAT;YT.SIPL;YT.SURP;YT.SWEI;ZJ.BEBP;ZJ.DONT;ZJ.RKST
XH.DR16,23,XH.DR02;XH.DR15;XH.RS02;XH.RS06;XH.RS08;XH.RS10;XH.RS12;XH.RS15;XH.RS17;YT.AGO1;YT.BENN;YT.CLRK;YT.DEVL;YT.FALL;YT.HOWE;YT.MILR;YT.MPAT;YT.SIPL;YT.SURP;YT.SWEI;ZJ.BEBP;ZJ.DONT;ZJ.RKST
OZ.BOGA,23,M8.MOGAR;M8.RUGBY;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.HKER;OZ.MARG;OZ.MILD;OZ.MRAT;OZ.ROBE;OZ.ROWM;OZ.TOT;S1.AUCAS;S1.AUDCS;S1.AUGRF;S1.AUHPC;S1.AUJCS;S1.AUPHS;S1.AUROX;S1.AUTAR;S1.AUTKS;S1.AUUHS;YW.MSWL3
YT.THUR,23,1D.ATOL;1D.ELSW;1D.FOWL;1D.KIBB;1D.PIG3;7U.TJTJ;YT.HOWD;YT.KOLR;YT.LPLY;YT.MA06;YT.MA07;YT.MA09;YT.MCRG;YT.MECK;YT.MRTP;YT.MTAK;YT.SILY;YT.ST02;YT.ST04;YT.ST07;YT.ST10;YT.UPTW;YT.WAIS
PQ.NAB2,23,7C.MM17;7C.MM26;7C.MM30;7C.MM40;AK.S31K;AK.V35K;C8.BNKB;C8.MWAB;EO.KLRS;NY.MAYO;NY.TGTN;NY.WGLY;PQ.NBC3;PQ.NBC8;RV.DEDWA;RV.KAKWA;RV.SWHSA;TD.TD009;XJ.SNOW;XL.MG06;Y5.PER;YI.QCB01;ZQ.ETIP
YP.NE81,23,1G.NOP01;5G.D16;CB.DL2;CB.HEH;CB.SNY;IC.HIA;IU.ULN;YP.NE32;YP.NE44;YP.NE57;YP.NE59;YP.NE5D;YP.NE61;YP.NE66;YP.NE7D;YP.NE83;YP.NE8B;YP.NE9B;YP.NEA3;YP.NEA5;YP.NEA9;YP.NEP5;YP.NEP7
XO.EP16,23,AK.FALS;AK.FYU;AK.GAMB;AK.GLB;AK.PAX;AK.PPLA;AK.SPIA;AK.TNA;AT.MID;AT.SVW2;EO.KLRS;XO.EP23;XO.ET20;XO.KD02;XO.LA32;XO.LD42;XO.WD49;XO.WD54;XO.WD58;XO.WD60;XO.WD67;XO.WD69;XO.WD72
YP.NE44,23,5G.D10;CB.DL2;CB.HEH;CB.SNY;IC.HIA;IU.INCN;IU.ULN;YP.NE32;YP.NE57;YP.NE59;YP.NE5D;YP.NE61;YP.NE66;YP.NE6F;YP.NE7D;YP.NE81;YP.NE83;YP.NE8B;YP.NE9B;YP.NEA3;YP.NEA5;YP.NEA9;YP.NEAB
GB.CCA1,22,CA.CARA;CA.CPAL;CH.SLE;EI.DSB;EI.IDGL;EI.IMAC;EI.IMAY;G.CLF;G.SSB;GB.DRUM;GB.GAL1;GB.GDLE;GB.HMNX;GB.JSA;GB.LAWE;GB.LEWI;GB.WACR;MN.BNI;NL.HGN;UK.STED;WF.SPG;WM.UCM
OZ.MILD,22,M8.MOGAR;OZ.BOGA;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.HKER;OZ.MARG;OZ.MRAT;OZ.ROBE;OZ.ROWM;OZ.TOT;S1.AUCAS;S1.AUDCS;S1.AUGRF;S1.AUHPC;S1.AUJCS;S1.AUPHS;S1.AUROX;S1.AUTAR;S1.AUTKS;S1.AUUHS;YW.MSWL3
PO.ACTO,22,KY.LLKY;LD.FRNY;NM.SCMO;PO.LATQ;PO.MATQ;PO.MEDO;US.GLMI;WU.TOBO;X8.QM38;X8.QM58;X8.QM76;X8.QM90;XI.SC04;XI.SC09;XI.SC10;XI.SC14;XI.SM37;XI.SN44;XO.LE17;XY.PACW;Z9.W315;ZS.W05
YG.CBP2J,22,CH.FUORN;G.SSB;GE.HLG;GE.IBBN;GE.PSZ;GE.RGN;GE.RUE;GE.TIRR;HT.LKD;IU.KIEV;MN.BNI;MN.DIVS;MN.VTS;NL.HGN;XS.S037;YF.PB60;YG.CBP4F;YG.CBP4N;YI.BARR;YI.BOB;YI.GROG;YY.SW05
KN.ULHL,22,CD.WMQ;CK.MNAS;II.AAK;II.NIL;KR.BTK;KR.SFK;KR.TRKS;KZ.MAKZ;KZ.OTUK;TJ.CHGR;TJ.GEZN;TJ.SHAA;XG.HUB03;XG.SAB01;XP.ORTK;XW.AKSU;XW.ATUS;XW.BCHU;XW.KHA;XW.KSA;XW.PDG;Y2.NOCO
AF.HVD,22,6H.CHID;8A.AIAI;8A.AROB;8A.MALT;8A.WAND;AF.CVNA;AF.GRM;AF.MOPA;AF.PKA;AF.POGA;AF.SNKL;AF.UPI;BX.KGCAE;BX.KHWEE;BX.KOOLE;BX.LKGWB;BX.PHPEN;ZQ.AAM2;ZT.CRAIL;ZT.DULL;ZT.NHAM;ZT.WTBG
YT.MA06,22,1D.FOWL;1D.KIBB;1D.PIG3;XH.RS12;YT.BENN;YT.CLRK;YT.DUFK;YT.FALL;YT.HOWD;YT.HOWE;YT.KOLR;YT.MA07;YT.MA09;YT.MECK;YT.PECA;YT.RMBO;YT.SILY;YT.SIPL;YT.STEW;YT.THUR;YT.UPTW;YT.WAIS
CY.CBCY,22,9R.OBS16;CM.PRV;CU.GRTK;CW.CAIB;CW.CAMR;CW.CCCC;CW.CHIV;CW.GNEO;CW.SOR;IU.TEIG;JM.CVJB;JM.NMIA0;LO.LOBA2;N4.060A;NU.BILN;NU.ESPN;NU.SIUN;TC.TRT1;YG.INC37;ZC.HMDR;ZC.SODR;ZU.GGIL
OZ.TOT,22,M8.MOGAR;M8.RUGBY;OZ.BOGA;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.HKER;OZ.MARG;OZ.MILD;OZ.MRAT;OZ.ROBE;OZ.ROWM;S1.AUCAS;S1.AUDCS;S1.AUGRF;S1.AUHPC;S1.AUJCS;S1.AUPHS;S1.AUTAR;S1.AUTKS;S1.AUUHS;YW.MSWL3
C1.CO05,22,2V.PO20;3E.MEL15;3Y.SC02;4Q.UT19;C1.AC02;C1.AF02;C1.VA04;XM.ANB03;XM.ANB07;XM.ANB09;XM.ANB10;XM.ANB11;XM.ANB19;XM.ANB20;XM.ASB04;XM.ASB08;XM.ASB13;XM.ASB19;XM.ASB20;XM.ASB22;XM.CB01;XM.CB22
GE.HLG,22,CH.FUORN;G.SSB;GE.IBBN;GE.PSZ;GE.RGN;GE.RUE;MN.BNI;NL.HGN;UK.STED;XK.HOYT;XK.NOVR;XM.A106;YF.N6002;YF.N6017;YF.N6029;YG.CBP2J;YG.CBP4F;YI.BOB;YY.SN32;YY.SN34;YY.SW03;YY.SW05
PL.BEL,22,CH.FUORN;CH.SLE;CZ.BEDC;CZ.MORC;CZ.PRIC;CZ.TREC;DK.MUD;GE.TIRR;IU.KIEV;MN.DIVS;MN.PDG;MN.VTS;NI.ZOU2;NL.HGN;PL.KWP;PL.NIE;YD.3B13;YD.3D08;YD.3D14;YD.3F11;YD.3H07;YD.6C04
YI.BARR,22,CH.FUORN;G.SSB;GE.IBBN;GE.MAHO;GE.PSZ;GE.RUE;HT.LKD;MN.BNI;MN.CLTB;MN.DIVS;MN.VSL;MN.VTS;MN.WDD;NL.HGN;XM.A106;YD.GROM;YD.MMNN;YG.CBP2J;YG.CBP4F;YG.CBP4N;YI.BOB;YI.GROG
KO.ELL,22,1F.ANIM;3K.NIKI;AC.VLO;GE.TIRR;GF.TEPE;HL.ARG;HL.RDO;HT.AGG;KO.DKL;MN.PDG;MN.VTS;MP.ANB2;RU.ANN;YB.AT06;YB.AT19;YB.AT39;YB.AT44;YB.AT49;YB.AT56;YB.AT63;YB.SM05;YH.KO07
MM.TGI,22,IN.SHL;MM.KTN;MM.MDY;MM.NGU;MM.SIM;MM.YGN;RM.SLV;TM.CHBT;TM.CMAI;TM.CRAI;TM.LOEI;TM.NAYO;TM.NONG;TM.PANO;TM.PHRA;TM.PRAC;TM.SRDT;TM.UBPT;XR.BA07;XR.MS02;XR.MS05;XR.MS09
YT.ST04,22,XD.PSP03;YT.BENN;YT.CLRK;YT.DUFK;YT.FALL;YT.HOWD;YT.KOLR;YT.MPAT;YT.PECA;YT.SILY;YT.SIPL;YT.ST01;YT.ST02;YT.ST07;YT.ST10;YT.ST14;YT.SURP;YT.THUR;YT.UPTW;YT.WAIS;YT.WILS;YT.WNDY
GE.APE,22,GE.MLR;GE.MRNI;GE.SKD;GE.TIRR;GE.ZKR;HT.LKD;MN.CLTB;MN.DIVS;MN.VTS;MN.WDD;XH.SAR;XS.S009;XS.S037;XS.S040;YD.GROM;YD.MMNN;YD.OBS10;YD.OBS14;YF.HVAR;YF.MARJ;YL.ARSL;YL.BEKI
ZT.CRAIL,22,8A.AROB;8A.GAMM;8A.KANO;8A.OKAM;8A.WAND;AF.BLWY;AF.HVD;AF.MOPA;AF.POGA;AF.RUDU;AF.SNKL;AF.UPI;BX.KGCAE;BX.KHWEE;BX.KOOLE;BX.LKGWB;BX.PHPEN;BX.XAUDM;NR.NE215;ZT.DULL;ZT.NHAM;ZT.WTBG
XO.KD02,22,AK.FALS;AK.FYU;AK.GLB;AK.PAX;AK.PPLA;AK.SPIA;AT.MID;AT.SVW2;EO.KLRS;NY.MAYO;XO.EP16;XO.EP23;XO.ET20;XO.LA32;XO.LD42;XO.WD49;XO.WD54;XO.WD58;XO.WD60;XO.WD67;XO.WD69;XO.WD72
XH.RS02,22,XH.DR02;XH.DR15;XH.DR16;XH.RS06;XH.RS08;XH.RS10;XH.RS12;XH.RS15;XH.RS17;YT.AGO1;YT.CLRK;YT.DEVL;YT.FALL;YT.HOWE;YT.MILR;YT.MPAT;YT.SIPL;YT.SURP;YT.SWEI;ZJ.BEBP;ZJ.DONT;ZJ.RKST
AK.M11K,22,AK.ATKA;AK.C16K;AK.C18K;AK.D20K;AK.E18K;AK.E19K;AK.F21K;AK.FALS;AK.G19K;AK.GAMB;AK.H21K;AK.J17K;AK.J19K;AK.K13K;AK.K15K;AK.M14K;AK.M16K;AK.O14K;AK.PPLA;AK.PS06;AK.SPIA;AK.TNA
1D.FOWL,22,1D.ATOL;1D.BREN;1D.ELSW;1D.KIBB;1D.PIG3;1D.ROTH;1D.WELC;AI.BELA;YT.BENN;YT.DUFK;YT.HOWD;YT.KOLR;YT.MA06;YT.MA07;YT.MA09;YT.MECK;YT.PECA;YT.RMBO;YT.STEW;YT.THUR;YT.UPTW;YT.WAIS
S1.AUTKS,22,M8.MOGAR;M8.RUGBY;OZ.AWOON;OZ.BOGA;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.MARG;OZ.MILD;OZ.ROBE;OZ.ROWM;OZ.TOT;S1.AUDCS;S1.AUGRF;S1.AUHPC;S1.AUMOU;S1.AUMUL;S1.AUPHS;S1.AUTAR;S1.AUUHS;Y2.KKVN5;YW.MSWL3
II.NIL,22,CK.MNAS;II.AAK;KN.ULHL;KR.BTK;KR.SFK;KR.TRKS;QZ.CHM;QZ.ZHTS;TF.KHO;TJ.CHGR;TJ.GEZN;TJ.MURGB;TJ.SHAA;XF.H1415;XF.H1630;XP.ORTK;XW.AKSU;XW.ATUS;XW.BCHU;XW.KSA;Y2.GUGE;Y2.PURG
X4.D26,22,IC.LSA;X4.A01;X4.C13;X4.D08;X4.D11;X4.F06;X4.GS01;X4.GS09;X4.GS12;X4.GS18;X4.H01;X4.H05;X4.H13;X4.H19;X4.H22;XO.JSO2;Z8.356;Z8.365;Z8.373;ZV.GUNA;ZV.LORI;ZV.MAQU
OZ.DTMM,22,M8.MOGAR;M8.RUGBY;OZ.BOGA;OZ.CURRY;OZ.GRASY;OZ.HKER;OZ.MARG;OZ.MILD;OZ.MRAT;OZ.ROBE;OZ.ROWM;OZ.TOT;S1.AUCAS;S1.AUDCS;S1.AUGRF;S1.AUHPC;S1.AUJCS;S1.AUPHS;S1.AUTAR;S1.AUTKS;S1.AUUHS;YW.MSWL3
TM.NONG,22,CB.GYA;IC.QIZ;MM.KTN;MM.MDY;MM.NGU;MM.SIM;MM.TGI;MM.YGN;RM.DLV;RM.SLV;TM.CHBT;TM.CMAI;TM.CRAI;TM.LOEI;TM.NAYO;TM.PANO;TM.PHRA;TM.PRAC;TM.SRDT;TM.UBPT;XR.MS05;XR.MS09
AF.PWET,22,AF.KTWE;AF.LBB;AF.MONG;AF.TEZI;IU.LSZ;XK.Q05MJ;XK.W02NB;XK.W10LW;XK.W12MB;XK.W15SS;XK.Z04NN;XK.Z09CG;XV.TETE;YA.KV01;YH.IFAK;YH.WALE;ZP.ISOK;ZP.KAMZ;ZP.KASM;ZP.KISH;ZP.MPIK;ZP.MWEN
NC.G005,22,7D.G36D;7D.J31C;7D.J36C;7D.J53C;AP.PVFF;BC.SPX;BC.TJX;CC.YOCR;CI.CIA;CI.PDM;IE.BCYI;NN.DIX;NN.RUB;NV.BACME;PB.B934;RE.BRBY3;TO.CC08;UO.LAIR;UO.RSBO;US.HAWA;X4.LR13;X7.WA33
HL.ARG,22,1F.ANIM;3K.NIKI;AC.VLO;GE.TIRR;GF.TEPE;HL.RDO;HT.AGG;KO.DKL;KO.ELL;MN.PDG;MN.VTS;XS.N020;XS.N039;YB.AT06;YB.AT19;YB.AT39;YB.AT44;YB.AT49;YB.AT56;YB.AT63;YB.SM05;YH.KO07
KZ.OTUK,21,CK.MNAS;II.AAK;KN.ULHL;KR.BTK;KR.SFK;KR.TRKS;KZ.AB06;KZ.MAKZ;QZ.AKST;QZ.BRZS;QZ.CHM;QZ.SEM;QZ.TDK;QZ.USHN;QZ.ZHTS;QZ.ZSN;TJ.CHGR;TJ.GEZN;XV.NW140;XV.NW300;XV.SW060
YS.PL45,21,YS.MRKH;YS.NGOK;YS.PL37;YS.PL38;YS.PL39;YS.PL40;YS.PL41;YS.PL43;YS.PL44;YS.PL46;YS.PL50;YS.PL57;YS.PL59;YS.PL61;YS.PL62;YS.PL63;YS.PL67;YS.PL68;YS.PL69;YS.PL70;YS.PL71
8A.GAMM,21,8A.AIAI;8A.AROB;8A.BAHE;8A.HAO;8A.KANO;8A.MALT;8A.NEPA;8A.OKAM;8A.OMUT;8A.OTJO;8A.SOLI;8A.WAND;8A.WEWE;AF.BLWY;AF.PKA;AF.UPI;AF.WIN;NR.NE215;ZT.CRAIL;ZT.NHAM;ZT.WTBG
C1.AC02,21,2V.PO20;3E.MEL15;3Y.SC02;C1.AF02;C1.CO05;XM.ANB03;XM.ANB07;XM.ANB09;XM.ANB10;XM.ANB11;XM.ANB16;XM.ANB17;XM.ANB18;XM.ANB19;XM.ANB20;XM.ASB04;XM.ASB13;XM.ASB19;XM.ASB22;XM.CB01;XM.CB22
PQ.NBC3,21,7C.MM17;7C.MM26;7C.MM30;7C.MM40;AK.DCPH;AK.S31K;AK.V35K;C8.BNKB;EO.KLRS;NY.MAYO;NY.TGTN;NY.WGLY;PQ.NAB2;PQ.NBC8;RV.DEDWA;RV.SWHSA;TD.TD009;XJ.SNOW;XL.MG06;Y5.PER;ZQ.ETIP
