station,n_connections,connected_to
US.GLMI,50,4A.MN50;6E.SB04;7A.BDEG;7O.ABNH;GS.DEC08;KY.LLKY;LD.FRNY;N4.K43A;N4.K50A;N4.L34B;N4.N41A;N4.P38B;N4.P48A;N4.P51A;N4.R40B;N4.R50A;N4.R53A;N4.R61A;N4.V51A;NM.SCMO;NM.WADM;OH.CROH;PE.PAKC;PE.PBL2;PE.PN1;PE.PSSK;PO.ACTO;PO.LATQ;PO.MATQ;PO.MEDO;US.ECSD;WU.TOBO;X8.QM38;X8.QM58;X8.QM76;X8.QM90;XI.SC04;XI.SC09;XI.SC10;XI.SC14;XI.SM37;XI.SN44;XO.LE17;XO.MG05;XO.SOKY;XY.PACW;YM.MHCG;YU.B01A;ZN.DC34;ZT.WEST
NL.HGN,50,1K.GIAN;CA.CARA;CA.CPAL;CH.FUORN;CH.SLE;CZ.BEDC;CZ.MORC;CZ.PRIC;CZ.TREC;DK.MUD;EI.DSB;EI.IDGL;EI.IMAC;EI.IMAY;G.CLF;G.SSB;GB.CCA1;GB.DRUM;GB.GAL1;GB.GDLE;GB.HMNX;GB.JSA;GB.LAWE;GB.WACR;GE.HLG;GE.IBBN;GE.PSZ;GE.RGN;GE.RUE;MN.BNI;NI.ZOU2;PL.BEL;PL.NIE;UK.STED;WF.SPG;XM.A106;YD.6C04;YF.PB49;YG.CBP2J;YG.CBP4F;YG.CBP4N;YI.BARR;YI.BOB;YI.GROG;YR.ED15;YY.SN32;YY.SN34;YY.SW03;YY.SW05;ZU.PA69
WU.TOBO,48,4A.MN50;6E.SB04;7A.BDEG;7O.ABNH;C8.FORQ;GS.DEC08;KY.LLKY;LD.FRNY;N4.E62A;N4.G65A;N4.K43A;N4.K50A;N4.N41A;N4.P48A;N4.P51A;N4.R50A;N4.R53A;N4.R61A;N4.V51A;NM.SCMO;OH.CROH;PE.PAKC;PE.PBL2;PE.PN1;PE.PSSK;PO.ACTO;PO.LATQ;PO.MATQ;PO.MEDO;US.GLMI;X8.QM38;X8.QM58;X8.QM76;X8.QM90;XI.SC04;XI.SC09;XI.SC10;XI.SC14;XI.SM37;XI.SN44;XO.LE17;XO.SOKY;XY.PACW;YM.MHCG;YU.B01A;ZN.DC34;ZS.W05;ZT.WEST
US.HAWA,48,7D.FN16A;7D.G13B;7D.G26B;7D.G36D;7D.J20B;7D.J31C;7D.J36C;7D.J48C;7D.J53C;C8.BNKB;C8.MWAB;CC.YOCR;IE.BCYI;IE.IRCI;MB.HRY;NC.G005;NN.DIX;NN.RUB;NV.BACME;PB.B934;RV.KAKWA;RV.SWHSA;TD.TD009;UO.LAIR;UO.RSBO;WY.YHR;X1.NKF01;X4.LR13;X7.WA33;X9.BB240;X9.BB420;XC.OR061;XC.OR088;XC.OR100;XE.SNP22;XE.SNPG9;XK.UT65;XL.MG06;XP.TWRS;XQ.ME10;XQ.ME62;XR.FA27;XS.N08;XT.D58;XY.BS07;Y5.HON;Y5.PER;YH.L01
GE.TIRR,47,AC.VLO;CZ.MORC;GE.APE;GE.PSZ;GE.SKD;GE.ZKR;GF.TEPE;HL.ARG;HL.RDO;HT.AGG;HT.LKD;IU.KIEV;KO.DKL;KO.ELL;MN.DIVS;MN.PDG;MN.VTS;PL.BEL;PL.KWP;PL.NIE;RU.ANN;RU.ERBR;RU.VSLR;XS.N020;XS.N039;XS.S009;XS.S037;XS.S040;YB.AT06;YB.AT19;YB.AT44;YB.AT49;YB.AT56;YB.AT63;YB.SM05;YD.3B13;YD.3D08;YD.3D14;YD.3F11;YD.3H07;YD.6C04;YG.CBP2J;YG.CBP4F;YG.CBP4N;YH.KO07;YL.ARSL;YL.BEKI
NY.MAYO,45,7C.MM17;7C.MM26;7C.MM30;7C.MM40;AK.C27K;AK.D20K;AK.D22K;AK.DCPH;AK.E19K;AK.E24K;AK.E27K;AK.F21K;AK.FYU;AK.G19K;AK.G27K;AK.GLB;AK.H21K;AK.J19K;AK.J26L;AK.PAX;AK.PPLA;AK.PS01;AK.PS06;AK.S31K;AK.V35K;AT.MID;AT.SVW2;EO.KLRS;NY.TGTN;NY.WGLY;PQ.KLONY;PQ.NAB2;PQ.NBC3;PQ.NBC8;PQ.RICHY;PQ.TUKN;PQ.ULUN;XJ.SNOW;XO.KD02;XO.WD54;YG.GLN4;YI.QCB01;ZE.BULG;ZE.HOLG;ZQ.ETIP
CI.PDM,44,2D.OBS06;2D.OBS08;2D.OBS13;2D.OBS16;2D.OBS21;7P.PC53;AP.PVFF;BC.PIX;BC.SPX;BC.TJX;CI.CIA;EP.CHC4;IE.IRCI;JW.BRR;NC.G005;NN.DIX;NN.RUB;NN.SLVR;NR.NE74;NR.NE75;NR.NE80;NR.NE81;NR.NE82;PB.B934;PB.GUAX;RE.BRBY3;TO.CC08;US.MVCO;X2.CRAT;XC.OR088;XC.OR100;XD.C02;XE.SNP22;XE.SNPG9;XK.UT65;XP.N16;XP.N20;XP.S29;XQ.ME10;XQ.ME62;XR.SC25;YH.L01;ZL.I02;ZL.N06
IE.BCYI,44,7D.FN16A;7D.G26B;7D.G36D;7D.J20B;7D.J36C;C8.MWAB;CC.YOCR;I0.RD179;IE.IRCI;MB.HRY;NC.G005;NN.DIX;NN.RUB;NN.SLVR;NV.BACME;PB.B934;PQ.LHLYB;RV.ASHMA;TD.TD009;UO.LAIR;UO.RSBO;UO.TOMA;US.DGMT;US.HAWA;US.KNB;US.MVCO;WY.YHR;X2.CRAT;X4.LR13;X7.WA33;XC.OR061;XC.OR088;XC.OR100;XE.SNPG9;XK.UT65;XP.N16;XP.N20;XP.S29;XP.TWRS;XQ.ME10;XQ.ME62;XT.D58;Y5.PER;YH.L01
G.SSB,43,1K.GIAN;CA.CARA;CA.CFAR;CA.CPAL;CH.FUORN;CH.SLE;CZ.BEDC;CZ.MORC;CZ.PRIC;CZ.TREC;G.CLF;GB.CCA1;GB.GDLE;GB.HMNX;GB.JSA;GB.WACR;GE.CART;GE.HLG;GE.IBBN;GE.MAHO;GE.RUE;MN.BNI;MN.MEB;MN.VSL;NI.ZOU2;NL.HGN;TT.TAMR;UK.STED;WF.SPG;WM.UCM;XB.PS37;XM.A106;YD.GROM;YD.OBS14;YF.DUOK;YF.HVAR;YG.CBP2J;YG.CBP4F;YG.CBP4N;YI.BARR;YI.BOB;YI.GROG;YR.ED15
MN.BNI,43,1K.GIAN;CA.CARA;CA.CFAR;CA.CPAL;CH.FUORN;CH.SLE;G.CLF;G.SSB;GB.CCA1;GB.HMNX;GB.JSA;GB.WACR;GE.CART;GE.HLG;GE.IBBN;GE.MAHO;GE.PSZ;GE.RUE;MN.CLTB;MN.DIVS;MN.PDG;MN.VSL;NI.ZOU2;NL.HGN;TT.TAMR;TT.THTN;UK.STED;WM.UCM;XM.A106;YD.6C04;YD.GROM;YD.MMNN;YD.OBS10;YD.OBS14;YF.DUOK;YF.HVAR;YG.CBP2J;YG.CBP4F;YG.CBP4N;YI.BARR;YI.BOB;YI.GROG;YR.ED15
MB.HRY,43,7D.FN16A;C8.MWAB;CC.YOCR;I0.RD179;IE.BCYI;IE.IRCI;NN.DIX;NN.RUB;NN.SLVR;NV.BACME;PQ.LHLYB;RV.ASHMA;RV.KAKWA;RV.SWHSA;TD.TD009;UO.LAIR;UO.RSBO;UO.TOMA;US.DGMT;US.HAWA;US.KNB;US.MVCO;WY.YHR;X4.LR13;X7.WA33;XC.OR061;XC.OR088;XC.OR100;XE.SNPG9;XK.UT65;XP.N16;XP.N20;XP.TWRS;XQ.ME10;XR.FA23;XR.FA24;XR.FA27;XT.D58;Y5.DOR;Y5.FMC;Y5.HON;Y5.PER;YH.L01
PB.B934,43,2D.OBS06;2D.OBS08;2D.OBS13;2D.OBS16;2D.OBS21;7D.FN16A;7D.G13B;7D.G26B;7D.G36D;7D.J20B;7D.J31C;7D.J36C;7D.J48C;7D.J53C;BC.TJX;C8.MWAB;CC.YOCR;CI.CIA;CI.PDM;IE.BCYI;IE.IRCI;NC.G005;NN.DIX;NN.RUB;NN.SLVR;NV.BACME;PQ.LHLYB;RE.BRBY3;TO.CC08;UO.LAIR;UO.RSBO;UO.TOMA;US.HAWA;X4.LR13;X7.WA33;X9.BB240;X9.BB420;XC.OR100;XD.C02;XP.TWRS;XQ.ME10;XQ.ME62;XT.D58
GS.DEC08,43,4A.MN50;6E.SB04;7A.BDEG;GS.KS24;KY.LLKY;N4.237B;N4.K43A;N4.K50A;N4.L34B;N4.N41A;N4.P38B;N4.P48A;N4.P51A;N4.R32B;N4.R40B;N4.R50A;N4.R53A;N4.V51A;N4.X48A;N4.Z38B;NM.EUAL;NM.SCMO;NM.WADM;O2.SC12;OH.CROH;OK.HEWI;PE.PAKC;PE.PBL2;PE.PN1;PE.PSSK;US.ECSD;US.GLMI;WU.TOBO;XO.SOKY;XR.FG01;XY.PACW;YU.B01A;Z7.LA01;Z9.E31;Z9.W315;ZN.DC34;ZT.WEST;ZW.AZCF
US.MVCO,43,4O.GV01;7P.PC53;AP.PVFF;BC.PIX;BC.SPX;BC.TJX;CI.CIA;CI.PDM;EP.CHC4;GS.KS24;GS.OK006;IE.BCYI;IE.IRCI;IM.TX02;JW.BRR;MB.HRY;N4.R32B;NN.DIX;NN.RUB;NN.SLVR;NR.NE80;NR.NE81;O2.SC12;OK.HEWI;RE.BRBY3;TX.BRDY;TX.DKNS;US.AMTX;WY.YHR;X2.CRAT;XC.OR088;XC.OR100;XD.C02;XE.SNPG9;XP.N16;XP.N20;XP.S29;XP.TWRS;XR.FG01;XR.SC25;YH.L01;ZW.AZCF;ZZ.FWU17
