rank,network,station,lat,lon,days
617,TM,UBPT,15.2773,105.4695,3546
618,JP,JMJ2,24.740801,125.327797,4857
619,YM,39,21.599701,121.364098,385
620,7B,NN04,-33.35722,-158.09491,370
621,QZ,CHM,42.348271,69.573528,1595
622,XP,E026,-76.424698,154.759064,92
623,XF,H1210,30.782101,85.109398,402
624,XV,SENA,-17.445,35.032001,609
625,XT,D58,45.032299,-118.073799,694
626,X9,BB420,43.6297,-130.208206,372
627,4P,MTB21,48.3517,-107.056,15
628,AF,HARE,-17.704,31.009001,234
629,IU,KEV,69.7565,27.0035,11761
630,7B,SD07,-31.0807,125.321602,70
631,TX,ELG6,28.481656,-100.326356,615
632,AK,F21K,67.2221,-153.483,1928
633,XE,ES11,31.906748,94.135582,455
634,7B,SB10,-28.6597,149.012497,86
635,YL,ILAM,26.9102,87.922699,366
636,XE,ROSL,-19.485266,-64.18029,394
637,CW,CAIB,22.497055,-79.47097,3001
638,MN,RTC,33.9881,-6.8569,6320
639,CH,SLE,47.7645,8.49236,5266
640,YT,SIPL,-81.6405,-148.9553,3097
641,YO,X10,33.047501,-76.059898,358
642,YS,PL50,22.319901,-152.742706,390
643,NR,NE81,28.918341,-109.636261,1952
644,AK,DCPH,59.0905,-138.2139,401
645,ZB,MLKN,-5.3526,102.2715,36
646,4A,MN50,47.99548,-90.242653,601
647,ZA,B02,11.0639,-145.714005,394
648,XJ,ZUP,54.081619,159.987518,325
649,EM,PA970,-34.130001,-65.107002,17
650,8A,HAO,-17.8869,15.0599,854
651,HV,ANDI,-14.247084,-170.564072,1563
652,MP,SLY1,35.5784,45.3667,335
653,S1,AUHPC,-38.1068,142.3183,3479
654,IU,PMSA,-64.7744,-64.0489,12271
655,N4,257A,31.9746,-81.0261,4413
656,7B,SA03,-20.337999,142.667801,145
657,YO,X01,36.225201,-74.5793,362
658,2A,44,-16.002001,-115.2491,344
659,BC,SPX,31.0451,-115.466,300
660,TM,LOEI,17.5093,101.6244,4884
661,TO,CC08,35.992199,-120.961197,652
662,XL,HMP,40.110897,128.286041,180
663,XR,ST40,33.81459,88.306976,326
664,YD,GROM,41.072701,15.0594,268
665,VE,IMOV,12.3585,-70.902298,708
666,SR,NWAO,-32.926601,117.233299,5501
667,ZP,JNJA,0.446,33.181999,453
668,X4,GS09,32.869499,106.458702,362
669,RM,SLV,21.325247,103.906708,4384
670,YT,WILS,-80.0396,-80.5587,749
671,MP,ANB2,33.0375,40.32,380
672,1E,CNF,79.65667,-80.778328,557
673,ZB,B01,14.5593,-92.216599,150
674,N4,L34B,41.9666,-96.3762,4661
675,PO,NANL,56.5371,-61.6884,259
676,DK,SOEG,68.203499,-31.3755,3829
677,ZV,GUNA,35.5835,101.088799,486
678,O2,SC12,34.921667,-99.3547,2848
679,XO,LD42,55.549885,-154.671428,458
680,X8,QM58,49.048401,-72.740601,516
681,G,CLF,48.02579,2.26,4331
682,YT,WAIS,-79.4181,-111.7779,5378
683,8A,MALT,-24.846022,16.996233,392
684,XH,DR16,-80.869499,178.430405,738
685,BL,ITAB,-27.308201,-52.341099,514
686,XH,DR02,-77.824303,-178.424896,752
687,ZG,CB34,-14.4346,-67.538803,642
688,7F,A15,22.881012,58.700784,22
689,XG,ELSH,41.9869,114.455597,818
690,4P,UTO15,40.125864,-112.533033,23
691,AF,SNKL,-28.27528,27.7714,3948
692,7B,SC09,-22.3969,136.295303,49
693,XB,ELYH0,4.502384,135.623447,20
694,6R,MAGE,5.670603,36.418926,777
695,XY,BN23,55.410999,-127.640999,469
696,YC,SBE1,6.20282,115.596382,665
697,MH,P0021,-23.647167,-133.3218,171
698,3C,GS02,4.619993,-75.925355,1001
699,MN,VSL,39.496,9.378,9952
700,1F,ANIM,31.26756,34.99689,593
701,M8,MOGAR,-36.6965,149.9761,651
702,YH,KO07,41.045898,30.1702,396
703,GG,SE1,63.24852,-42.03487,1202
704,YP,NE44,43.370701,119.677299,317
705,XW,MAWI,15.46748,43.52317,209
706,RU,R27,44.37622,44.36501,584
707,RS,RSNT,62.479698,-114.591698,1243
708,YS,PL39,21.956301,-161.314896,393
709,Z7,LA01,31.9874,-93.8349,905
710,AF,IFE,7.546667,4.45692,499
711,PR,IMPR,18.076971,-67.931123,751
712,MH,P0009,-12.099433,-168.399733,531
713,7B,SA06,-22.892,148.308594,118
714,ZN,KAW2,-8.5224,150.299393,313
715,CM,LCBC,8.857167,-76.367667,1992
716,WM,UCM,40.307499,-3.2441,2920
717,ZU,AZB19,32.148583,-109.466373,28
718,4P,MTG16,45.24855,-111.615,30
719,IM,TX02,29.329901,-103.657997,9570
720,X4,H22,39.755901,93.488998,287
721,C1,AF02,-25.418768,-70.45536,516
722,XL,HD25,47.003502,99.406097,648
723,ZD,FN11,-10.8687,-75.082703,425
724,XH,S22,-39.107071,175.168839,121
725,YM,UCM,63.911201,-148.8862,48
726,CB,DL2,38.905998,121.627998,3144
727,X7,MC14,45.76957,92.21965,379
728,TF,KHO,37.488477,71.565355,291
729,YT,SWEI,-86.9858,129.3615,1713
730,AK,K15K,62.2938,-161.5308,2054
731,YS,PL43,26.776699,-155.765305,392
732,YL,S02W,-21.799101,-176.897995,274
733,8L,MG58,50.64865,-123.03358,23
734,JP,JMM,37.868999,140.789673,4432
735,YY,OBS55,19.4498,146.849701,44
736,DW,LEM,-6.8333,107.616699,1004
737,EM,TB750,28.705,92.186996,41
738,X1,NKF01,49.311901,-127.721001,417
739,6H,CHID,-24.9242,34.188702,90
740,4P,SDG32,45.250353,-97.284757,17
741,XD,HALE,-5.3018,38.617001,277
742,RV,KAKWA,54.421,-118.981742,1577
743,7B,SB01,-25.792299,139.588699,70
744,CZ,PRIC,49.6693,12.6782,1207
745,XU,CHTA,-43.771198,151.158401,339
746,AF,MONG,-15.15,23.09,554
747,XV,NW300,51.63364,75.30625,146
748,ZM,N156,-81.6726,86.504501,700
749,XP,N044,-79.069191,148.615921,216
750,X4,H13,36.972698,97.653999,283
751,TW,KMNB,24.4638,118.388199,10323
752,3H,G56,-2.4299,-89.0249,450
753,YP,NE59,44.095901,125.961098,702
754,ZV,WKZ07,42.024502,55.4767,18
755,X8,COSY,43.438499,-65.625298,351
756,3J,OBS10,-16.02551,-176.12563,467
757,JP,ASAJ,44.118801,142.593002,2169
758,XI,HALM,22.8454,44.317299,431
759,JP,JMZ,25.81983,131.223663,4381
760,GE,MAHO,39.895901,4.2665,2186
761,4P,SDH25,44.873759,-103.702928,20
762,ZQ,184,39.180099,115.048599,449
763,IP,MTOR,28.494801,-9.8487,200
764,QZ,USHN,49.969499,82.743909,1048
765,ZP,GEIT,-2.881,32.216999,295
766,YA,MC21,25.4876,99.643303,224
767,ZR,N1312,65.628799,13.44193,289
768,8P,CAW11,35.088283,-115.571401,24
769,NU,SIUN,13.71616,-84.773499,2636
770,XS,N020,40.349899,21.960501,296
771,YF,DUOK,44.113098,14.9318,562
772,XF,NE6,79.326187,-38.454979,728
773,XB,CM16,5.48,10.572,353
774,XW,GHDI,15.63811,52.161732,128
775,Z6,BRDL,22.677999,91.642998,1008
776,YI,BOB,44.767921,9.44782,1002
777,XE,PACH,-19.868052,-69.415749,138
778,4P,WYM22,41.451249,-106.557096,41
779,YH,L01,42.4263,-110.368103,220
780,YT,AGO1,-83.8615,129.6152,1822
781,GE,CART,37.5868,-1.0012,3079
782,YU,B01A,42.554493,-76.505821,2136
783,QZ,INDER,48.501565,51.694986,1587
784,ZU,TXF39,29.194367,-94.967993,25
785,ZU,NZ12,-43.001701,169.598602,363
786,2A,34,-11.7336,-117.275101,345
787,XR,GTM,65.401497,-161.277802,763
788,YS,BULE,-9.41579,119.30487,318
789,XM,ANB18,-28.4534,-59.3139,628
790,NR,NE80,30.5,-112.319931,1812
791,PR,SNC1,17.699398,-64.793793,715
792,S1,AUKAL,-30.7637,121.4789,2871
793,IU,MBWA,-21.159,119.7313,8700
794,ZF,LYDE,12.05456,41.925701,647
795,YT,GM05,-81.1841,51.1587,70
796,YS,HADA,-8.3722,123.5454,711
797,XG,HUB03,36.332462,74.661621,97
798,XK,Z09CG,-13.3058,32.221001,683
799,4P,TNU48,36.020782,-86.443872,23
800,ZU,NZ01,-44.4981,165.001602,370
801,YS,PL03,21.2055,-155.679398,374
802,ZU,ARY43,33.775818,-91.189773,25
803,YT,ST01,-83.228,-98.7418,361
804,YY,MGNA,12.7864,36.404301,198
805,XV,MAJA,-15.7323,46.4263,705
806,X4,C13,33.996498,91.553497,310
807,II,CMLA,37.7637,-25.5243,9924
808,6E,SB04,38.573502,-87.751999,201
809,1D,KIBB,-75.276108,-65.604904,753
810,AB,PRLH,40.401754,50.332841,1361
811,S1,AUPHS,-31.099,150.8943,4792
812,YQ,KIMO,-10.6922,36.046299,390
813,ZG,CP07,-16.8862,-70.373901,620
814,XT,CMPC,7.6508,-64.073097,511
815,ZV,WKZ05,43.336399,52.296799,19
816,XG,MSDY,40.461639,37.776543,647
817,4P,OHN52,39.887555,-81.399164,49
818,XT,SOMB,12.7209,-64.931297,360
819,PQ,NAB2,58.59503,-119.16559,3027
820,PQ,RICHY,66.9808,-136.2216,1056
821,ZB,Y30S,-0.08943,97.860863,287
822,8Q,P12,29.909498,-142.683938,440
823,GB,DRUM,56.91267,-2.4865,5459
824,YS,PL57,18.9142,-150.914993,451
825,8A,OKAM,-20.407301,18.2187,853
826,Z4,CP02,-34.586201,-73.293198,314
827,ZU,NZ29,-45.247398,172.253494,362
828,XF,NE2,73.990723,-46.23497,724
829,Z1,Z16N,-13.10831,25.87236,549
830,XH,RS12,-79.017899,-147.632095,778
831,4P,MBB03,37.028999,-93.024002,838
832,ZV,CHAA,-7.59109,31.270399,432
833,G,SANVU,-15.447148,167.203231,4685
834,ZD,FM09,-12.65027,-73.041481,561
835,YW,MAIO,15.23057,-23.17725,690
836,GS,SJPH,18.19029,-73.003403,98
837,CB,HEH,50.252998,127.410004,3167
838,CC,YOCR,45.379178,-121.743539,2196
839,MX,ZAIG,22.769176,-102.567123,4404
840,IU,RCBR,-5.8274,-35.9014,9673
841,XF,NE5,74.117332,-31.150419,727
842,4P,IDC11,47.839025,-116.273,31
843,LD,FRNY,44.835,-73.5883,5349
844,7K,AN4,40.332022,-66.973035,239
845,4P,NJL60,40.068568,-74.426009,24
846,YT,DEVL,-81.4755,161.973,3085
847,ZL,I02,25.684299,-110.099602,355
848,4P,MED63,44.041383,-69.098008,17
849,XI,KR42,0.037997,35.726284,186
850,WU,TOBO,45.225804,-81.523445,5182
851,XE,UYUN,-20.461914,-66.74688,244
852,XB,PS16,37.2131,-5.0491,900
853,AF,UPI,-28.362,21.253,6324
854,7E,KB06,-16.101999,126.600998,58
855,X8,QM90,52.2915,-77.098801,540
856,KN,ULHL,42.245602,76.241699,7738
857,CA,CPAL,42.310533,3.16244,3454
858,YY,GORE,8.1501,35.533001,675
859,EM,GT003,39.9039,-115.874603,29
860,XK,Q07MR,-13.1967,37.4986,681
861,XC,FL006,29.119425,-81.99487,21
862,YD,OBS10,39.655998,17.802401,97
863,XG,DGSU,39.131145,42.729748,259
864,GE,DAG,76.771301,-18.655001,8204
865,ZJ,DONT,-73.876846,165.12001,1089
866,XB,CM06,2.385,11.268,622
867,BL,COR2,-17.743299,-48.689201,229
868,JP,JTU,34.5275,129.396332,4436
869,XM,1346,7.794967,39.897858,46
870,7C,MM30,64.2803,-128.8747,636
871,XM,ANB17,-25.2429,-59.8069,558
872,XS,L02A,-1.1667,-17.4085,384
873,XO,KD02,57.8618,-152.6575,465
874,XM,NM24,34.046871,-106.119606,429
875,YH,IFAK,-8.1397,36.6828,351
876,WF,SPG,52.32553,-3.01928,787
877,M8,AM37,-25.9866,116.9921,77
878,4P,IAL39,42.093177,-92.115706,25
879,XQ,ME10,40.959099,-122.461899,591
880,AK,C16K,68.2746,-165.3436,2276
881,YF,PB49,52.4916,17.804701,247
882,XP,S29,36.959099,-106.535202,454
883,NY,WGLY,63.22815,-123.45841,2470
884,3H,G27,-0.183,-93.4209,450
885,YT,KOLR,-76.1544,-120.727,2825
886,3A,L107,-39.333099,-71.788849,128
887,IU,ULN,47.8651,107.0532,10928
888,ZA,B26,7.5382,-144.945801,394
889,YS,PL37,19.8234,-160.047501,417
890,EC,SALI,-2.1863,-80.991203,1190
891,YU,SL09,8.9599,-72.6846,698
892,7B,MM04,-34.0909,-154.12547,371
893,Z8,310,35.938099,114.070801,381
894,8B,402,37.397598,111.457901,295
895,AK,GAMB,63.7758,-171.7036,7554
896,XB,POP2,47.593006,-79.220634,133
897,4P,OHM48,40.798366,-84.460195,29
898,Z1,LBSA,-16.540899,179.300201,431
899,ZU,ALD48,30.583397,-88.365967,46
900,Y2,KKVN5,-26.343691,152.185039,224
901,ZU,NZ21,-39.5005,170.000107,354
902,XJ,LN25,-2.5006,35.886398,685
903,8B,430,32.674801,110.334099,434
904,OZ,BOGA,-35.547,143.57532,628
905,YP,NE83,46.2132,118.801102,703
906,TR,DLPL,15.3325,-61.246799,1790
907,IM,CY101,34.20406,31.62915,1605
908,XI,SC09,49.740002,-86.754997,860
909,8Q,P22,26.902167,-138.673857,428
910,NN,RUB,39.051701,-120.1549,3619
911,XV,HRAU,66.1186,-20.0987,91
912,RU,ANN,44.881,37.314,486
913,OZ,GRASY,-40.08652,144.01093,710
914,MH,P0008,-12.008233,-172.023102,603
915,4P,MIJ45,43.140395,-86.281774,20
916,AT,MID,59.427799,-146.338806,4286
917,YL,ONRN,29.302,87.244003,21
918,TM,PRAC,12.472649,99.792871,5274
919,4P,TNT53,36.174247,-82.298692,31
920,XJ,SBL,54.30431,155.961823,186
921,CY,CBCY,19.73797,-79.758278,4866
922,VE,ELOV,7.0011,-69.4832,648
923,BL,UNIA,-16.23217,-46.791672,54
924,I0,RD179,52.227003,-114.108056,573
925,SV,RBDL,14.113,-89.6827,645
926,YH,MTWA,-10.2776,40.194,355
927,7B,SB05,-31.878901,141.595306,71
928,7D,J20B,44.354198,-127.0952,243
929,ZW,AZCF,33.184074,-97.446251,274
930,ZP,KASM,-10.2174,31.1401,258
931,XM,ASB13,-35.20574,-67.67386,645
932,M8,WATNG,-30.73225,118.19848,772
933,Y5,DOR,54.220001,-108.57,474
934,EC,PUYO,-1.493,-78.024902,3477
935,NR,NE83,24.730881,-107.739326,1425
936,YP,NE7D,45.342098,128.742905,594
937,Y2,WT06,32.226398,82.261299,616
938,1D,PIG3,-75.084061,-97.474449,718
939,BL,CANB,-22.96814,-50.37785,706
940,EI,IMAC,51.845801,-9.070097,1355
941,ZL,BARR,-31.6495,-69.415901,708
942,2V,PO20,-27.73141,-70.24283,104
943,YS,PL45,24.2006,-154.811996,327
944,X4,GS01,34.271999,104.242104,363
945,7B,SS01,-35.53273,-151.77364,367
946,XI,SN44,46.716999,-93.125999,899
947,GE,PUL,59.766998,30.316999,2401
948,CW,CCCC,21.193399,-77.417297,3482
949,YL,N01W,-19.0243,-175.485504,318
950,OV,CCOL,8.4075,-82.973396,1256
951,PE,PBL2,41.9981,-79.528809,3219
952,Y3,NWM01,-46.440899,-74.893898,40
953,GB,GAL1,54.86633,-4.71133,6517
954,1G,NOP01,41.97177,110.49863,377
955,XW,KABG,3.5104,34.143299,521
956,7A,BDEG,37.331501,-77.208298,722
957,17,S20,49.160267,-66.391147,33
958,GE,PSZ,47.918201,19.8934,3089
959,ZQ,ETIP,58.443645,-133.990631,130
960,YS,PL61,16.737801,-151.637604,387
961,OK,HEWI,37.048825,-96.408082,666
962,CU,GRGR,12.13237,-61.65407,7074
963,XS,S037,38.921001,24.530001,453
964,7B,MM12,-35.50344,-157.16479,342
965,YG,CBP4F,47.720261,15.97801,498
966,4P,NDD30,47.258204,-98.844029,21
967,ZT,CRAIL,-22.80259,28.24304,1190
968,RU,VSLR,43.4612,40.0324,660
969,XP,TWRS,45.103471,-114.849947,168
970,XA,SA80,-19.959257,31.317909,338
971,MP,DHK1,36.8606,42.8665,1615
972,XA,SA10,-30.972401,23.913601,259
973,XE,CC12,-7.9544,-133.5317,19
974,ZM,GM04,-82.999702,61.1124,463
975,YB,AT39,36.932098,37.222599,179
976,ON,TIJ01,-25.908848,-49.024242,2307
977,NM,SCMO,38.761799,-90.641296,2047
978,AK,O14K,59.2533,-161.2638,2160
979,XE,WW01,-3.78521,-134.73696,251
980,AK,V35K,55.3279,-131.615,2620
981,XM,ASB06,-37.1992,-70.6547,77
982,VE,RIOV,8.069,-61.814499,345
983,XV,C16D,-76.300003,167.199997,76
984,XV,SOLA,-15.8636,48.826302,112
985,BL,TRIB,-20.6724,-51.326,455
986,YQ,VWZM,-11.1753,33.574402,370
987,TO,MULU,19.4368,-99.129601,607
988,3H,G15,2.5843,-92.2501,449
989,MH,P0007,-13.51175,-176.492667,33
990,YT,ST07,-78.6388,-123.7953,725
991,RS,RSON,50.858898,-93.702202,1343
992,XM,ANB03,-23.50208,-66.11349,638
993,S1,AUDCS,-32.2334,148.6278,4636
994,XS,L37D,1.5657,-14.9718,355
995,EM,PA878,-31.805,-58.958,38
996,9D,KNS,64.290802,-49.683102,821
997,2C,GS18,-83.767303,-160.796906,21
998,DK,DY2G,66.479599,-46.309399,2888
999,VE,JACV,11.0873,-68.82987,584
1000,YT,LPLY,-73.1142,-90.2834,2181
1001,NR,NE215,-18.78417,25.196014,278
1002,YT,MA06,-79.4397,-97.5587,702
1003,YO,F6,11.3652,-85.8209,439
1004,XS,N08,46.5,-108.861,307
1005,YT,BENN,-84.5731,-117.3923,3954
1006,GB,JSA,49.18783,-2.17167,6430
1007,1D,ATOL,-71.389671,-68.870117,385
1008,ZU,TXH36,28.344834,-97.816395,24
1009,TT,TATN,32.578701,10.5292,511
1010,YA,MC16,27.1824,103.633003,307
1011,YT,ST10,-75.8143,-129.7489,691
1012,CB,NJ2,32.051701,118.854401,3128
1013,XR,BB23,28.485666,89.658524,129
1014,MU,OXNC,17.399599,-97.217903,25
1015,Y2,IFM03,52.763,-170.063,18
1016,XV,BAND,-20.3428,45.596401,404
1017,1P,EIDA,-49.5393,-70.8801,816
1018,ZM,GM01,-83.985802,104.729103,684
1019,EC,TULM,0.7161,-77.786903,4399
1020,MP,AMR2,31.9899,47.1902,896
1021,YS,PL67,16.162001,-156.206604,387
1022,SP,DFORK,34.153099,-81.200302,555
1023,MM,NGU,21.205721,94.916618,3404
1024,ZU,COS28,37.869652,-102.146964,16
1025,8A,GAMM,-20.2505,20.8253,1306
1026,7B,SD03,-27.0515,125.185699,137
1027,ZM,GM06,-79.332802,44.3148,203
1028,EM,PA765,-31.674999,-64.141998,15
1029,X4,D08,34.924198,94.780502,387
1030,S1,AUROX,-30.5601,136.8971,1433
1031,X5,MNGN,64.663498,-72.434334,1315
1032,ZL,CHUM,-28.8195,-66.2481,217
1033,XI,TANG,24.275999,89.921997,513
1034,AK,J26L,64.5012,-143.5636,2325
1035,AK,A22K,71.0033,-154.9742,1500
1036,RV,DEDWA,56.644562,-117.389069,3571
1037,YD,3D08,45.97826,21.517321,648
1038,YI,ISDE,-80.0,-134.992996,610
1039,Y2,NOCO,33.719398,80.389801,111
1040,YA,MC02,30.3811,103.428902,300
1041,8Q,P03,27.897,-141.755108,438
1042,S1,AUJCS,-33.2047,138.6098,3197
1043,XO,WD67,52.162563,-160.035832,418
1044,XC,OR061,43.3922,-120.561302,426
1045,7S,RR06,40.37447,-125.21833,45
1046,ZT,DULL,-25.36478,30.17588,1127
1047,XM,UT52,37.234776,-110.131325,573
1048,A0,LUS3,40.916392,45.189975,452
1049,BL,CDCB,-20.2365,-44.718201,475
1050,IM,WK30,19.4104,165.855698,56
1051,4P,NEN31,40.92382,-99.273701,26
1052,YP,NEA5,47.648602,124.036697,623
1053,X5,JENN,64.085503,-67.16217,291
1054,S1,AUALB,-34.9995,117.9046,4426
1055,IU,LSZ,-15.2779,28.1882,9042
1056,NB,SBBR,-3.74516,-40.371651,304
1057,MY,SBM,2.4529,112.213997,6835
1058,AK,E27K,68.1861,-141.5951,1920
1059,YT,HOWE,-87.4158,-149.4267,1834
1060,X2,PG1,-41.137699,176.038101,25
1061,XM,ANB20,-26.7962,-65.316,637
1062,XJ,KGB,56.25845,162.711456,246
1063,Y5,FMC,56.650002,-111.5,1427
1064,Z6,08L,27.813601,151.491699,373
1065,OZ,ROBE,-37.1472,139.87424,519
1066,1D,ROTH,-67.520012,-68.148849,369
1067,AF,LBB,-11.631,27.485001,1098
1068,8A,AROB,-26.798342,19.647346,413
1069,XL,HD03,46.515701,102.547203,617
1070,PQ,LHLYB,48.536332,-123.729633,856
1071,5G,D16,41.745,126.4048,1443
1072,4P,VAQ55,37.882941,-79.808136,18
1073,S1,AUKAT,-14.4624,132.2829,1753
1074,YP,NEAB,47.602501,131.668396,609
1075,Y6,HOLY,46.525902,-66.463997,696
1076,XR,MS02,23.605983,93.696263,421
1077,7B,SC05,-16.966999,135.783905,84
1078,ON,ABR01,-17.964609,-38.695862,1749
1079,XC,OR088,42.965599,-117.302299,929
1080,XM,ASB19,-36.2284,-65.4205,361
1081,XI,RANI,21.3116,42.7761,311
1082,XD,EBM,-10.604326,150.653549,218
1083,7B,SD06,-28.4963,135.9021,67
1084,2D,OBS08,32.654499,-121.342499,389
1085,XB,CM29,9.347,13.385,561
1086,8P,CAV08,35.695485,-118.154066,29
1087,BL,CMPA,-19.57917,-54.168831,634
1088,GE,RGN,54.547699,13.3214,3900
1089,AT,SVW2,61.1082,-155.621704,3754
1090,X2,CRAT,35.318199,-111.317902,418
1091,3D,MM05,30.680401,-6.3895,820
1092,YV,HJO,70.352203,-28.164,467
1093,Y1,TURK,3.127577,38.27457,867
1094,4P,MAH64,41.746854,-70.019214,20
1095,C8,BNKB,53.3318,-129.9017,945
1096,ZM,N190,-80.327499,69.431,355
1097,TO,MONT,18.6387,-95.094398,611
1098,Z7,FAG,63.874779,-16.653641,296
1099,X9,T2S4A,-69.020897,72.818298,54
1100,XE,ES18,31.301319,97.962425,359
1101,4P,NEL26,42.209447,-103.106243,19
1102,XT,PNCH,11.2493,-66.5009,364
1103,6H,INCA,-19.2197,33.8419,99
1104,KZ,MAKZ,46.807999,81.976997,6225
1105,XF,NE1,74.87175,-38.55117,727
1106,XD,RUNG,-6.9372,33.518002,357
1107,XB,ELEF,-61.21981,-55.13903,461
1108,C1,MG02,-52.7808,-69.2242,3770
1109,US,GLMI,44.8245,-84.6175,6324
1110,X8,QM76,50.764801,-74.817596,585
1111,MP,SAM2,30.5295,44.5586,489
1112,KR,BTK,40.06675,70.81572,5746
1113,M8,MUKOZ,-26.7575,114.6094,364
1114,XA,SA38,-25.933359,25.084627,705
1115,Z9,W14,32.0938,-83.898697,1107
1116,PS,JAY,-2.5147,140.703,1526
1117,8E,03023,66.464441,19.065859,23
1118,4P,WII40,43.855541,-90.613957,16
1119,PL,HSPB,77.001877,15.53318,5984
1120,2H,BTIE,11.1949,40.021801,131
1121,1D,ELSW,-75.519371,-85.707581,381
1122,YS,PL40,23.9972,-161.095001,393
1123,YH,WALE,-9.7896,37.917,421
1124,YS,PL62,14.6891,-151.6866,391
1125,YY,OBS10,17.561399,143.196396,49
1126,XV,AMPY,-24.7033,44.743599,384
1127,TO,EGIP,17.264799,-91.975197,277
1128,Z8,341,36.0462,109.201599,279
1129,XE,SP18,29.483082,94.414757,350
1130,BL,JNRB,-15.46783,-44.505169,255
1131,XN,A01,58.992599,-123.176598,73
1132,XI,HOSA,7.563968,37.857258,361
1133,ZB,TIKU,-0.399,99.944199,237
1134,XF,MA28,20.1786,-102.597,505
1135,XN,BABAY,-1.814066,136.719955,21
1136,YS,PL41,24.573799,-158.933105,392
1137,CK,MNAS,42.49321,72.49757,252
1138,YP,NE32,42.670799,117.070099,497
1139,TM,SRDT,14.3948,99.1213,4835
1140,GE,MLR,45.491199,25.945601,2866
1141,XF,STC5,-82.396378,-134.74556,51
1142,PL,KWP,49.631401,22.7075,5565
1143,MM,TGI,20.768545,97.034073,3405
1144,N4,Y60A,34.0046,-78.2163,4326
1145,XW,ATUS,39.716,76.157204,123
1146,XD,C02,33.070999,-115.560501,446
1147,MR,MRIV,-20.298,57.497002,1747
1148,XH,RS17,-81.401604,-162.973801,713
1149,GE,APE,37.068901,25.5306,2226
1150,XS,L18D,0.5769,-9.3765,369
1151,YJ,BAK01,-47.183998,-71.973503,485
1152,XR,SC25,33.580601,-103.548203,697
1153,XD,DCD,37.829437,95.366997,221
1154,Z1,MOAL,-18.566299,179.951599,345
1155,7B,SC06,-19.1437,128.117905,138
1156,JP,JSD,38.040001,138.257172,4438
1157,7P,PC53,31.4616,-103.6937,276
1158,XO,LA32,54.4982,-157.8522,462
1159,XS,S24D,-0.1383,-12.7806,366
1160,9G,SA015,50.222,-114.181999,18
1161,YC,SBF4,6.37312,117.620827,642
1162,BL,BRSB,-22.535299,-45.5854,542
1163,C1,LL02,-43.19055,-71.84838,3887
1164,TO,PG20,-14.6049,-73.997299,712
1165,9G,AB317,50.155998,-110.862,17
1166,ID,ERM,42.0158,143.157196,4070
1167,YF,N6017,63.380829,13.65691,175
1168,Z1,Z34S,-17.164391,27.52483,286
1169,YY,004,36.4473,119.562599,325
1170,PM,PFVI,37.132832,-8.826829,6480
1171,ZU,TXE30,30.241536,-101.386563,24
1172,6H,MASS,-21.588499,32.921299,197
1173,II,TLY,51.6807,103.6438,10167
1174,ZG,CP13,-14.7893,-71.444702,636
1175,XN,B15,60.433998,-134.247406,412
1176,AK,E18K,67.4213,-160.6027,1551
1177,XB,PM25,32.875702,-4.888,993
1178,7B,SB03,-28.600201,140.264999,66
1179,ZU,MSB45,31.959723,-90.094485,31
1180,YP,NE8B,46.207199,126.056297,687
1181,YB,AT49,38.513699,32.252998,731
1182,II,NNA,-11.9875,-76.8422,12762
1183,GY,A11,37.929298,58.112499,345
1184,YM,KASE,71.4776,-51.349701,775
1185,XO,WD49,54.399083,-151.89947,425
1186,AK,E24K,68.0748,-148.4868,2275
1187,AF,WIN,-22.5667,17.1,4747
1188,XA,SA73,-21.853668,30.277611,327
1189,XA,SA60,-23.851931,24.959381,339
1190,1G,WA05,39.46912,107.78784,153
1191,XD,KIBA,-5.3223,36.5695,274
1192,JP,JHJ2,33.115299,139.813797,7174
1193,AK,PS06,65.8545,-149.7369,2387
1194,XF,NE3,76.394577,-43.458302,724
1195,MN,WDD,35.8373,14.5242,9447
1196,YS,ONIX,-10.1033,124.4498,713
1197,PL,BEL,51.837002,20.792,5698
1198,EO,KLRS,61.03095,-138.40663,2132
1199,XJ,OSO,59.261375,163.084213,139
1200,YI,BARR,44.282799,12.0797,919
1201,XH,ESP03,-29.7428,-64.014297,728
1202,BL,PORB,-13.33043,-49.078739,459
1203,BL,CAMB,-21.784,-41.429001,241
1204,ZA,A20,9.4403,-144.620102,19
1205,QZ,ALGA,49.986897,57.210083,1595
1206,YA,MC14,27.864599,99.735199,345
1207,1G,WOP23,37.3256,100.06438,234
1208,DK,MUD,56.455,9.1733,5933
1209,XW,SIMA,17.55549,52.316299,212
1210,XV,TETE,-16.129999,33.57,458
1211,1A,NE00,39.990002,124.306999,264
1212,XV,MAHA,-23.1714,47.689899,691
1213,3C,NW09,6.289741,-74.985709,469
1214,XG,BYBT,40.235348,40.265499,459
1215,US,AMTX,34.8837,-101.6808,7579
1216,1G,WOP11,37.52923,104.79038,359
1217,SN,WG02,37.240501,-115.197701,17
1218,YM,12,23.405899,122.687202,385
1219,X1,LW2,-80.972198,148.032104,18
1220,XV,ZOBE,-18.1369,47.228901,395
1221,YG,INC37,15.691732,-88.351567,590
1222,YI,D35,20.112801,-63.517601,180
1223,YT,MILR,-83.3063,156.2517,3091
1224,XB,CM03,3.519,15.034,271
1225,XI,SC10,49.752998,-83.817001,871
1226,7D,G36D,42.4618,-126.8965,416
